Datetime,Match,Red Team 1,Red Team 2,Blue Team 1,Blue Team 2,Red Score,Blue Score,Winner
3-Feb-2024 10:44 EST,Qualifier #131,11342B,4610H,20164T,1575A,73,95,Blue
3-Feb-2024 10:48 EST,Qualifier #132,20096G,7316R,62629W,2068B,144,92,Red
3-Feb-2024 10:53 EST,Qualifier #133,9451B,7316V,20164W,11342A,62,102,Blue
3-Feb-2024 10:56 EST,Qualifier #134,62629Z,55286A,7316N,50805H,35,88,Blue
3-Feb-2024 11:00 EST,Qualifier #135,62629P,7405M,62629X,99921A,56,69,Blue
3-Feb-2024 11:05 EST,Qualifier #136,169Y,83757A,9039J,99921B,73,122,Blue
3-Feb-2024 11:10 EST,Qualifier #137,1575M,62629Y,53B,1229W,85,62,Red
3-Feb-2024 11:13 EST,Qualifier #138,1575K,1140R,7405R,1140D,75,67,Red
3-Feb-2024 11:17 EST,Qualifier #139,60883X,11865A,1575A,53D,63,85,Blue
3-Feb-2024 11:21 EST,Qualifier #140,8889A,62629K,4610H,2011D,87,110,Blue
3-Feb-2024 11:25 EST,Qualifier #141,53E,2068B,26038F,9451A,69,27,Red
3-Feb-2024 11:30 EST,Qualifier #142,20096G,53C,9451B,1575T,114,45,Red
3-Feb-2024 11:31 EST,Qualifier #143,62629X,7316E,11342B,20164W,97,96,Red
3-Feb-2024 11:35 EST,Qualifier #144,80508X,26571A,26038D,82856A,87,74,Red
3-Feb-2024 11:41 EST,Qualifier #145,50805H,7316V,62629P,7316R,70,60,Red
3-Feb-2024 11:44 EST,Qualifier #146,48425A,20164T,169Y,55286A,102,65,Red
3-Feb-2024 11:46 EST,Qualifier #147,26508Z,169E,53F,62629W,56,126,Blue
3-Feb-2024 11:50 EST,Qualifier #148,20164X,338A,99921B,99921A,100,70,Red
3-Feb-2024 11:54 EST,Qualifier #149,169X,2072X,2011K,62629Z,115,88,Red
3-Feb-2024 13:00 EST,Qualifier #150,19589A,7316X,7405K,46R,160,82,Red
3-Feb-2024 13:03 EST,Qualifier #151,60883W,9039J,87867D,7405M,78,85,Blue
3-Feb-2024 13:07 EST,Qualifier #152,80708Y,11342A,26038G,83757A,79,53,Red
3-Feb-2024 13:11 EST,Qualifier #153,842T,53A,47969A,7316N,89,82,Red
3-Feb-2024 13:15 EST,Qualifier #154,53D,20096G,80508X,1575K,65,110,Blue
3-Feb-2024 13:18 EST,Qualifier #155,7405R,11342B,1575M,169Y,137,67,Red
3-Feb-2024 13:22 EST,Qualifier #156,99921A,1140R,8889A,9451A,73,75,Blue
3-Feb-2024 13:25 EST,Qualifier #157,82856A,26508Z,20164T,99921B,66,45,Red
3-Feb-2024 13:29 EST,Qualifier #158,4610H,62629Y,7316E,11865A,113,80,Red
3-Feb-2024 13:33 EST,Qualifier #159,7405K,26038D,1229W,7316R,58,91,Blue
3-Feb-2024 13:36 EST,Qualifier #160,7405M,53C,169X,80708Y,48,80,Blue
3-Feb-2024 13:40 EST,Qualifier #161,62629P,26038G,60883W,55286A,27,115,Blue
3-Feb-2024 13:43 EST,Qualifier #162,2011K,9451B,19589A,62629W,80,148,Blue
3-Feb-2024 13:50 EST,Qualifier #163,7316N,83757A,62629X,2068B,84,53,Red
3-Feb-2024 13:53 EST,Qualifier #164,20164X,46R,169E,26571A,94,35,Red
3-Feb-2024 13:57 EST,Qualifier #165,50805H,53A,62629K,9039J,77,98,Blue
3-Feb-2024 14:00 EST,Qualifier #166,53B,53F,60883X,2011D,20,110,Blue
3-Feb-2024 14:04 EST,Qualifier #167,1575T,87867D,11342A,53E,118,41,Red
3-Feb-2024 14:07 EST,Qualifier #168,47969A,62629Z,7316V,1140D,75,60,Red
3-Feb-2024 14:11 EST,Qualifier #169,20164W,26038F,7316X,48425A,45,128,Blue
3-Feb-2024 14:15 EST,Qualifier #170,1575A,842T,2072X,338A,88,101,Blue
3-Feb-2024 15:10 EST,R16 #1-1,80708Y,8889A,9039J,99921B,90,84,Red
3-Feb-2024 15:14 EST,R16 #2-1,11342B,11342A,62629X,48425A,59,109,Blue
3-Feb-2024 15:19 EST,R16 #3-1,2072X,20164X,47969A,7316E,80,110,Blue
3-Feb-2024 15:22 EST,R16 #4-1,2011D,7405R,62629Y,60883X,135,76,Red
3-Feb-2024 15:26 EST,R16 #5-1,80508X,19589A,62629W,7405M,153,102,Red
3-Feb-2024 15:30 EST,R16 #6-1,7316X,2011K,82856A,7316R,143,122,Red
3-Feb-2024 15:33 EST,R16 #7-1,4610H,60883W,1575T,20164W,84,62,Red
3-Feb-2024 15:36 EST,R16 #8-1,1229W,338A,1575A,842T,47,95,Blue
3-Feb-2024 15:43 EST,QF #1-1,80708Y,8889A,62629X,48425A,110,,Red
3-Feb-2024 15:53 EST,QF #2-1,47969A,7316E,2011D,7405R,105,103,Red
3-Feb-2024 16:05 EST,QF #3-1,80508X,19589A,7316X,2011K,172,77,Red
3-Feb-2024 16:10 EST,QF #4-1,4610H,60883W,1575A,842T,121,73,Red
3-Feb-2024 16:21 EST,SF #1-1,80708Y,8889A,47969A,7316E,120,83,Red
3-Feb-2024 16:28 EST,SF #2-1,80508X,19589A,4610H,60883W,125,73,Red
3-Feb-2024 16:45 EST,Final #1-1,80708Y,8889A,80508X,19589A,97,127,Blue
3-Feb-2024 17:00 EST,Final #1-2,80708Y,8889A,80508X,19589A,115,145,Blue
