"Time","D","P","I"
2023-12-13 20:16:58,1,-3239,0
2023-12-13 20:16:58,-4,-3323,0
2023-12-13 20:16:58,3,-3226,0
2023-12-13 20:16:58,-4,-3315,0
2023-12-13 20:16:58,3,-3232,0
2023-12-13 20:16:59,-1,-3315,0
2023-12-13 20:16:59,2,-3251,0
2023-12-13 20:16:59,-1,-3274,0
2023-12-13 20:16:59,1,-3261,0
2023-12-13 20:16:59,-1,-3283,0
2023-12-13 20:16:59,2,-3274,0
2023-12-13 20:16:59,-2,-3299,0
2023-12-13 20:16:59,4,-3239,0
2023-12-13 20:16:59,-4,-3321,0
2023-12-13 20:16:59,3,-3264,0
2023-12-13 20:16:59,-3,-3296,0
2023-12-13 20:16:59,2,-3253,0
2023-12-13 20:16:59,-2,-3306,0
2023-12-13 20:16:59,2,-3283,0
2023-12-13 20:16:59,-1,-3282,0
2023-12-13 20:16:59,2,-3273,0
2023-12-13 20:16:59,-3,-3317,0
2023-12-13 20:16:59,2,-3269,0
2023-12-13 20:16:59,3,-3232,0
2023-12-13 20:17:00,-3,-3332,0
2023-12-13 20:17:00,2,-3250,0
2023-12-13 20:17:00,-3,-3327,0
2023-12-13 20:17:00,1,-3240,0
2023-12-13 20:17:00,-3,-3329,0
2023-12-13 20:17:00,2,-3258,0
2023-12-13 20:17:00,0,-3273,0
2023-12-13 20:17:00,5,-2982,0
2023-12-13 20:17:00,1,-3268,0
2023-12-13 20:17:00,7,-3024,0
2023-12-13 20:17:00,-4,-3111,0
2023-12-13 20:17:00,3,-3003,0
2023-12-13 20:17:00,-4,-2922,0
2023-12-13 20:17:00,1,-2926,0
2023-12-13 20:17:00,0,-2808,0
2023-12-13 20:17:00,0,-2829,0
2023-12-13 20:17:00,1,-2721,0
2023-12-13 20:17:00,1,-2675,0
2023-12-13 20:17:00,0,-2652,0
2023-12-13 20:17:00,1,-2593,0
2023-12-13 20:17:01,0,-2571,0
2023-12-13 20:17:01,1,-2480,0
2023-12-13 20:17:01,0,-2415,0
2023-12-13 20:17:01,3,-2389,0
2023-12-13 20:17:01,-1,-2319,0
2023-12-13 20:17:01,1,-2278,0
2023-12-13 20:17:01,1,-2204,0
2023-12-13 20:17:01,1,-2164,0
2023-12-13 20:17:01,0,-2149,0
2023-12-13 20:17:01,1,-2103,0
2023-12-13 20:17:01,0,-2053,0
2023-12-13 20:17:01,0,-2016,0
2023-12-13 20:17:01,1,-1966,0
2023-12-13 20:17:01,1,-1912,0
2023-12-13 20:17:01,0,-1871,0
2023-12-13 20:17:01,1,-1831,0
2023-12-13 20:17:01,1,-1772,0
2023-12-13 20:17:01,0,-1725,0
2023-12-13 20:17:01,0,-1696,0
2023-12-13 20:17:01,0,-1644,0
2023-12-13 20:17:02,1,-1591,0
2023-12-13 20:17:02,0,-1567,0
2023-12-13 20:17:02,1,-1501,0
2023-12-13 20:17:02,0,-1480,0
2023-12-13 20:17:02,2,-1400,0
2023-12-13 20:17:02,3,-1345,0
2023-12-13 20:17:02,-1,-1321,0
2023-12-13 20:17:02,1,-1265,0
2023-12-13 20:17:02,2,-1215,0
2023-12-13 20:17:02,0,-1174,0
2023-12-13 20:17:02,0,-1164,0
2023-12-13 20:17:02,0,-1095,0
2023-12-13 20:17:02,0,-1062,0
2023-12-13 20:17:02,0,-988,0
2023-12-13 20:17:02,1,-910,0
2023-12-13 20:17:02,0,-896,0
2023-12-13 20:17:02,1,-846,0
2023-12-13 20:17:02,0,-818,0
2023-12-13 20:17:02,0,-783,0
2023-12-13 20:17:03,1,-711,0
2023-12-13 20:17:03,0,-690,0
2023-12-13 20:17:03,0,-635,0
2023-12-13 20:17:03,1,-604,0
2023-12-13 20:17:03,0,-562,0
2023-12-13 20:17:03,0,-514,0
2023-12-13 20:17:03,1,-504,0
2023-12-13 20:17:03,1,-436,0
2023-12-13 20:17:03,0,-422,0
2023-12-13 20:17:03,0,-361,0
2023-12-13 20:17:03,1,-315,0
2023-12-13 20:17:03,0,-286,0
2023-12-13 20:17:03,0,-233,0
2023-12-13 20:17:03,1,-208,0
2023-12-13 20:17:03,0,-167,0
2023-12-13 20:17:03,1,-154,0
2023-12-13 20:17:03,0,-119,0
2023-12-13 20:17:03,0,-84,0
2023-12-13 20:17:03,0,-56,0
2023-12-13 20:17:03,0,-42,0
2023-12-13 20:17:04,0,-5,0
2023-12-13 20:17:04,0,29,0
2023-12-13 20:17:04,0,77,0
