"Time","Wattage","Temperature"
2024-02-24 17:27:38.337,9.85,40
2024-02-24 17:27:38.428,10.1,40
2024-02-24 17:27:38.528,9.68,40
2024-02-24 17:27:38.628,10.4,40
2024-02-24 17:27:38.719,10.4,40
2024-02-24 17:27:38.786,10.2,40
2024-02-24 17:27:38.837,10.3,40
2024-02-24 17:27:38.882,9.80,40
2024-02-24 17:27:38.927,9.99,40
2024-02-24 17:27:38.969,10.3,40
2024-02-24 17:27:39.015,10.4,40
2024-02-24 17:27:39.061,10.1,40
2024-02-24 17:27:39.102,10.1,40
2024-02-24 17:27:39.168,9.91,40
2024-02-24 17:27:37.528,9.80,40
2024-02-24 17:27:38.024,9.78,40
2024-02-24 17:27:38.337,9.85,40
2024-02-24 17:27:38.528,9.68,40
2024-02-24 17:27:38.719,10.4,40
2024-02-24 17:27:38.837,10.3,40
2024-02-24 17:27:38.927,9.99,40
2024-02-24 17:27:39.015,10.4,40
2024-02-24 17:27:39.102,10.1,40
2024-02-24 17:27:39.237,10.4,40
2024-02-24 17:27:39.281,10.1,40
2024-02-24 17:27:39.327,10.1,40
2024-02-24 17:27:39.373,10.4,40
2024-02-24 17:27:39.418,10.4,40
2024-02-24 17:27:39.464,10.2,40
2024-02-24 17:27:39.509,10.4,40
2024-02-24 17:27:39.552,10.2,40
2024-02-24 17:27:39.618,10.2,40
2024-02-24 17:27:39.686,10.3,40
2024-02-24 17:27:38.024,9.78,40
2024-02-24 17:27:38.528,9.68,40
2024-02-24 17:27:38.837,10.3,40
2024-02-24 17:27:39.015,10.4,40
2024-02-24 17:27:39.237,10.4,40
2024-02-24 17:27:39.327,10.1,40
2024-02-24 17:27:39.418,10.4,40
2024-02-24 17:27:39.509,10.4,40
2024-02-24 17:27:39.618,10.2,40
2024-02-24 17:27:39.735,10.1,40
2024-02-24 17:27:39.780,10.2,40
2024-02-24 17:27:39.824,10.1,40
2024-02-24 17:27:39.868,10.2,40
2024-02-24 17:27:39.912,10.3,40
2024-02-24 17:27:39.957,9.94,40
2024-02-24 17:27:40.002,10.1,40
2024-02-24 17:27:40.058,10.2,40
2024-02-24 17:27:40.138,10.5,40
2024-02-24 17:27:40.181,10.1,40
2024-02-24 17:27:40.227,9.92,40
2024-02-24 17:27:38.528,9.68,40
2024-02-24 17:27:39.015,10.4,40
2024-02-24 17:27:39.327,10.1,40
2024-02-24 17:27:39.509,10.4,40
2024-02-24 17:27:39.735,10.1,40
2024-02-24 17:27:39.824,10.1,40
2024-02-24 17:27:39.912,10.3,40
2024-02-24 17:27:40.002,10.1,40
2024-02-24 17:27:40.138,10.5,40
2024-02-24 17:27:40.227,9.92,40
2024-02-24 17:27:40.274,10.7,40
2024-02-24 17:27:40.362,10.0,40
2024-02-24 17:27:40.407,10.0,40
